example_id                                                 | status  | run_time        |
./spec/policies/child_policy_spec.rb[1:6:1]                | passed  | 0.01373 seconds |
./spec/policies/child_policy_spec.rb[1:6:2]                | passed  | 0.01377 seconds |
./spec/policies/child_policy_spec.rb[1:6:3]                | passed  | 0.01436 seconds |
./spec/policies/child_policy_spec.rb[1:6:4]                | passed  | 0.01407 seconds |
./spec/policies/child_policy_spec.rb[1:6:5]                | passed  | 0.01481 seconds |
./spec/policies/child_policy_spec.rb[1:6:6]                | passed  | 0.01428 seconds |
./spec/policies/child_policy_spec.rb[1:7:1]                | passed  | 0.00504 seconds |
./spec/policies/child_policy_spec.rb[1:8:1]                | passed  | 0.00262 seconds |
./spec/policies/child_policy_spec.rb[1:8:2]                | passed  | 0.0382 seconds  |
./spec/policies/child_policy_spec.rb[1:8:3]                | passed  | 0.0435 seconds  |
./spec/policies/child_policy_spec.rb[1:8:4]                | passed  | 0.01038 seconds |
./spec/policies/child_policy_spec.rb[1:8:5]                | passed  | 0.0479 seconds  |
./spec/policies/event_policy_spec.rb[1:1:1:1]              | passed  | 0.03284 seconds |
./spec/policies/event_policy_spec.rb[1:1:1:2]              | passed  | 0.0309 seconds  |
./spec/policies/event_policy_spec.rb[1:1:2]                | passed  | 0.03547 seconds |
./spec/policies/event_policy_spec.rb[1:1:3]                | passed  | 0.02877 seconds |
./spec/policies/event_policy_spec.rb[1:1:4]                | passed  | 0.0305 seconds  |
./spec/policies/event_policy_spec.rb[1:1:5]                | passed  | 0.03259 seconds |
./spec/policies/event_policy_spec.rb[1:1:6]                | passed  | 0.03194 seconds |
./spec/policies/event_policy_spec.rb[1:1:7]                | passed  | 0.03266 seconds |
./spec/policies/event_policy_spec.rb[1:2:1:1]              | passed  | 0.03197 seconds |
./spec/policies/event_policy_spec.rb[1:2:1:2]              | passed  | 0.02572 seconds |
./spec/policies/event_policy_spec.rb[1:2:2:1]              | passed  | 0.02783 seconds |
./spec/policies/event_policy_spec.rb[1:2:2:2]              | passed  | 0.02827 seconds |
./spec/policies/event_policy_spec.rb[1:2:2:3]              | passed  | 0.02563 seconds |
./spec/policies/event_policy_spec.rb[1:2:2:4]              | passed  | 0.0247 seconds  |
./spec/policies/event_policy_spec.rb[1:2:2:5]              | passed  | 0.0254 seconds  |
./spec/policies/event_policy_spec.rb[1:2:3]                | passed  | 0.04549 seconds |
./spec/policies/event_policy_spec.rb[1:2:4]                | passed  | 0.03553 seconds |
./spec/policies/event_policy_spec.rb[1:3:1:1]              | passed  | 0.02703 seconds |
./spec/policies/event_policy_spec.rb[1:3:1:2]              | passed  | 0.02614 seconds |
./spec/policies/event_policy_spec.rb[1:3:2:1]              | passed  | 0.02515 seconds |
./spec/policies/event_policy_spec.rb[1:3:2:2]              | passed  | 0.02555 seconds |
./spec/policies/event_policy_spec.rb[1:3:2:3]              | passed  | 0.02537 seconds |
./spec/policies/event_policy_spec.rb[1:3:2:4]              | passed  | 0.02435 seconds |
./spec/policies/event_policy_spec.rb[1:3:2:5]              | passed  | 0.02417 seconds |
./spec/policies/event_policy_spec.rb[1:3:3]                | passed  | 0.03818 seconds |
./spec/policies/event_policy_spec.rb[1:3:4]                | passed  | 0.0322 seconds  |
./spec/policies/event_policy_spec.rb[1:4:1]                | passed  | 0.02506 seconds |
./spec/policies/event_policy_spec.rb[1:4:2]                | passed  | 0.02546 seconds |
./spec/policies/event_policy_spec.rb[1:4:3:1]              | passed  | 0.026 seconds   |
./spec/policies/event_policy_spec.rb[1:4:3:2]              | passed  | 0.02489 seconds |
./spec/policies/event_policy_spec.rb[1:4:3:3]              | passed  | 0.02406 seconds |
./spec/policies/event_policy_spec.rb[1:4:3:4]              | passed  | 0.02445 seconds |
./spec/policies/event_policy_spec.rb[1:4:3:5]              | passed  | 0.03064 seconds |
./spec/policies/event_policy_spec.rb[1:4:4:1]              | passed  | 0.02906 seconds |
./spec/policies/event_policy_spec.rb[1:5:1:1]              | passed  | 0.07682 seconds |
./spec/policies/event_policy_spec.rb[1:5:1:2]              | passed  | 0.08643 seconds |
./spec/policies/event_policy_spec.rb[1:5:2:1]              | passed  | 0.08181 seconds |
./spec/policies/event_policy_spec.rb[1:5:2:2]              | passed  | 0.08073 seconds |
./spec/policies/event_policy_spec.rb[1:5:2:3]              | passed  | 0.08113 seconds |
./spec/policies/event_policy_spec.rb[1:5:2:4]              | passed  | 0.08402 seconds |
./spec/policies/event_policy_spec.rb[1:5:2:5]              | passed  | 0.08 seconds    |
./spec/policies/event_policy_spec.rb[1:5:3:1]              | passed  | 0.07161 seconds |
./spec/policies/event_policy_spec.rb[1:6:1]                | passed  | 0.00296 seconds |
./spec/policies/event_policy_spec.rb[1:6:2]                | passed  | 0.02035 seconds |
./spec/policies/event_policy_spec.rb[1:6:3]                | passed  | 0.03342 seconds |
./spec/policies/event_policy_spec.rb[1:6:4]                | passed  | 0.00271 seconds |
./spec/policies/event_policy_spec.rb[1:6:5]                | passed  | 0.00531 seconds |
./spec/policies/inquiry_policy_spec.rb[1:1:1:1]            | passed  | 0.02535 seconds |
./spec/policies/inquiry_policy_spec.rb[1:1:1:2]            | passed  | 0.02172 seconds |
./spec/policies/inquiry_policy_spec.rb[1:1:1:3]            | passed  | 0.02362 seconds |
./spec/policies/inquiry_policy_spec.rb[1:1:1:4]            | passed  | 0.02178 seconds |
./spec/policies/inquiry_policy_spec.rb[1:1:1:5]            | passed  | 0.02233 seconds |
./spec/policies/inquiry_policy_spec.rb[1:2:1:1]            | passed  | 0.03301 seconds |
./spec/policies/inquiry_policy_spec.rb[1:2:1:2]            | passed  | 0.03319 seconds |
./spec/policies/inquiry_policy_spec.rb[1:2:1:3]            | passed  | 0.03328 seconds |
./spec/policies/inquiry_policy_spec.rb[1:2:1:4]            | passed  | 0.03308 seconds |
./spec/policies/inquiry_policy_spec.rb[1:2:1:5]            | passed  | 0.03257 seconds |
./spec/policies/inquiry_policy_spec.rb[1:2:2:1]            | passed  | 0.02259 seconds |
./spec/policies/inquiry_policy_spec.rb[1:2:2:2]            | passed  | 0.02643 seconds |
./spec/policies/inquiry_policy_spec.rb[1:3:1:1]            | passed  | 0.03168 seconds |
./spec/policies/inquiry_policy_spec.rb[1:3:1:2]            | passed  | 0.03666 seconds |
./spec/policies/inquiry_policy_spec.rb[1:3:1:3]            | passed  | 0.03354 seconds |
./spec/policies/inquiry_policy_spec.rb[1:3:1:4]            | passed  | 0.03071 seconds |
./spec/policies/inquiry_policy_spec.rb[1:3:1:5]            | passed  | 0.03071 seconds |
./spec/policies/inquiry_policy_spec.rb[1:3:2:1]            | passed  | 0.02328 seconds |
./spec/policies/inquiry_policy_spec.rb[1:3:2:2]            | passed  | 0.02136 seconds |
./spec/policies/inquiry_policy_spec.rb[1:4:1:1]            | passed  | 0.02237 seconds |
./spec/policies/inquiry_policy_spec.rb[1:4:1:2]            | passed  | 0.02226 seconds |
./spec/policies/inquiry_policy_spec.rb[1:4:1:3]            | passed  | 0.02319 seconds |
./spec/policies/inquiry_policy_spec.rb[1:4:1:4]            | passed  | 0.02646 seconds |
./spec/policies/inquiry_policy_spec.rb[1:5:1:1]            | passed  | 0.02281 seconds |
./spec/policies/inquiry_policy_spec.rb[1:5:1:2]            | passed  | 0.02212 seconds |
./spec/policies/inquiry_policy_spec.rb[1:5:1:3]            | passed  | 0.02221 seconds |
./spec/policies/inquiry_policy_spec.rb[1:5:1:4]            | passed  | 0.0246 seconds  |
./spec/policies/inquiry_policy_spec.rb[1:6:1]              | passed  | 0.06695 seconds |
./spec/policies/inquiry_policy_spec.rb[1:6:2]              | passed  | 0.0444 seconds  |
./spec/policies/inquiry_policy_spec.rb[1:6:3]              | passed  | 0.03727 seconds |
./spec/policies/inquiry_policy_spec.rb[1:6:4]              | passed  | 0.01023 seconds |
./spec/policies/inquiry_policy_spec.rb[1:6:5]              | passed  | 0.00287 seconds |
./spec/policies/invoice_policy_spec.rb[1:1:1:1]            | passed  | 0.05095 seconds |
./spec/policies/invoice_policy_spec.rb[1:1:1:2]            | passed  | 0.0475 seconds  |
./spec/policies/invoice_policy_spec.rb[1:1:1:3]            | passed  | 0.04851 seconds |
./spec/policies/invoice_policy_spec.rb[1:1:1:4]            | passed  | 0.048 seconds   |
./spec/policies/invoice_policy_spec.rb[1:1:1:5]            | passed  | 0.04718 seconds |
./spec/policies/invoice_policy_spec.rb[1:1:1:6]            | passed  | 0.04787 seconds |
./spec/policies/invoice_policy_spec.rb[1:1:1:7]            | passed  | 0.0468 seconds  |
